company,address,start_year,end_year,type,lat,lon
Schmalz Brothers,"318/418 Bleeker St, Muscatine, Iowa",1900,1921,cutting shop,41.410527,-91.064765
John Schmarke Button Works,"418-420 Sternemean Blvd., Muscatine, Iowa",1946,1949,cutting shop,41.41014249,-91.06598638
C. Schmarke Button Works,"517 Sterneman Blvd, Muscatine, Iowa",1936,1943,cutting shop,41.411722,-91.068433
Lemkau Button Company,Pond St near Angel St,1913,1934,cutting shop,41.412927,-91.068914
Henery Tietje,Pond St near Angel St,1916,1916,cutting shop,41.412927,-91.068914
Gebhardt Button Company,Pond St near Angel St,1916,1921,cutting shop,41.412927,-91.068914
Christopherson Button Factory,Pond St near Angel St,1929,1929,cutting shop,41.412927,-91.068914
H.G. Christopherson,Grover St at the foot,1921,1927,cutting shop,41.412927,-91.068914
James J. Healey Button Company,"505 Bond St, Muscatine, Iowa",1919,1919,cutting shop,41.412138,-91.064445
Ross T. Huff,"518 Evans St, Muscatine, Iowa",1940,1946,cutting shop,41.411559,-91.063572
Bishop & Hagermann,"416 Liberty Street, Muscatine, Iowa",1904,1913,cutting shop,41.411601,-91.061764
Dalton & Radebaugh,"416 Liberty Street, Muscatine, Iowa",1916,1919,cutting shop,41.411601,-91.061764
Healey Button Company,"416 Liberty Street, Muscatine, Iowa",1919,1921,cutting shop,41.411601,-91.061764
Louis Yarck Button Company,"416 Liberty Street, Muscatine, Iowa",1927,1958,cutting shop,41.411601,-91.061764
Teichmiller (Brothers) Button Factory,"400 Block of Bond St, Muscatine, Iowa",1899,1954,finishing plant,41.412798,-91.065642
Eagle Button Works,"400 Block of Bond St, Muscatine, Iowa",1905,1905,finishing plant,41.412798,-91.065642
Richards-Smith Button Company,"400 Block of Bond St, Muscatine, Iowa",1908,1911,finishing plant,41.412798,-91.065642
Hanover Pearl Button Company,"400 Block of Bond St, Muscatine, Iowa",1916,1921,finishing plant,41.412798,-91.065642
John Vaupel,"402 Evans St, Muscatine, Iowa",1916,1916,cutting shop,41.412795,-91.062023
Mittman’s Pearl Button Company,"Reed St, Muscatine, Iowa",1899,1900,cutting shop,41.412067,-91.060737
Royal Pearl Button Company,Main Street near Grandview Ave,1904,1905,cutting shop,41.412805,-91.058917
McKee & Bliven Button Company,Main Street near Grandview Ave,1907,1907,cutting shop,41.412805,-91.058917
Huttig & Gertz,Liberty Street at the northeast corner,1899,1900,cutting shop,41.412744,-91.05918
J.T. Keegan,Mill Street at the corner of Bush Street,1913,1913,cutting shop,41.413735,-91.060862
J.W. Herget,Mill Street at the corner of Bush Street,1916,1916,cutting shop,41.413735,-91.060862
Henry Manthey,"219 Main Street, Muscatine, Iowa",1899,1900,cutting shop,41.417205,-91.058642
Joseph Manthey,"218 Roselawn Ave, Muscatine, Iowa",1902,1903,cutting shop,41.413872,-91.058774
Peter Pieper,"1084 New Hampshire Street, Muscatine, Iowa",1916,1919,cutting shop,41.414578,-91.064165
James Loveless,"203 Roselawn Ave, Muscatine, Iowa",1916,1916,cutting shop,41.414495,-91.058411
Rudolph Roch,"1202 Hershey Ave, Muscatine, Iowa",1916,1916,cutting shop,41.415494,-91.05768
Peetz Button Factory,"1206 Hershey Ave, Muscatine, Iowa",1919,1919,cutting shop,41.415494,-91.0575
Bierman Button Factory,"306 Clinton St, Muscatine, Iowa",1919,1919,cutting shop,41.41331,-91.065869
Lick Brothers,"306 Clinton St, Muscatine, Iowa",1923,1946,cutting shop,41.41331,-91.065869
Nietzle Brothers (houseboat),Hershey Avenue at Riverfront,1904,1904,cutting shop,41.413055,-91.056522
Doty Button Company,Hershey Avenue at Riverfront,1908,1919,cutting shop,41.413055,-91.056522
Roby Button Company,Hershey Avenue at Riverfront,1908,1911,cutting shop,41.413055,-91.056522
Yarck Brothers Button Company,Hershey Avenue at Riverfront,1913,1916,cutting shop,41.413055,-91.056522
Automatic button company,Hershey Avenue at Riverfront,1919,1919,cutting shop,41.413055,-91.056522
McKee & Bliven Button factory,"1000 Hershey Ave, Muscatine, Iowa",1907,1925,finishing plant,41.414961,-91.055188
